id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CL0081,Nom81,Prenom81,client81@email.com,1983-05-15,f,TANGER,0600000000,2023-05-10,Web
CL0082,Nom82,Prenom82,client82@email.com,2025-05-15,F,TANGER,0600000000,2023-05-10,Web
CL0083,Nom83,Prenom83,client83@email.com,1950-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0084,Nom84,Prenom84,client84@email.com,1994-05-15,f,TANGER,0600000000,2023-05-10,Web
CL0085,Nom85,Prenom85,client85@email.com,1994-05-15,Femme,TNG,0600000000,2023-05-10,Web
CL0086,Nom86,Prenom86,client86email.com,1999-05-15,F,Tnja,0600000000,2023-05-10,Web
CL0087,Nom87,Prenom87,client87@email.com,1963-05-15,F,kech,0600000000,2023-05-10,Web
CL0088,Nom88,Prenom88,client88@email.com,1955-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0089,Nom89,Prenom89,client89@email.com,1987-05-15,0,CASABLANCA,0600000000,2023-05-10,Web
CL0090,Nom90,Prenom90,client90@email.com,2005-05-15,m,TANGER,0600000000,2023-05-10,Web
CL0091,Nom91,Prenom91,client91@email.com,2000-05-15,f,TNG,0600000000,2023-05-10,Web
CL0092,Nom92,Prenom92,client92@email.com,1993-05-15,H,kech,0600000000,2023-05-10,Web
CL0093,Nom93,Prenom93,client93@email.com,1957-05-15,0,tanger,0600000000,2023-05-10,Web
CL0094,Nom94,Prenom94,client94@email.com,2003-05-15,m,Agadir,0600000000,2023-05-10,Web
CL0095,Nom95,Prenom95,client95@email.com,1970-05-15,Homme,TANGER,0600000000,2023-05-10,Web
CL0096,Nom96,Prenom96,client96@email.com,1850-05-15,F,Tnja,0600000000,2023-05-10,Web
CL0097,Nom97,Prenom97,client97@email.com,1991-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0098,Nom98,Prenom98,client98email.com,1991-05-15,f,marrakech,0600000000,2023-05-10,Web
CL0099,Nom99,Prenom99,client99@email.com,1966-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0100,Nom100,Prenom100,client100@email.com,1990-05-15,0,CASABLANCA,0600000000,2023-05-10,Web
CL0101,Nom101,Prenom101,client101@email.com,1983-05-15,Homme,TNG,0600000000,2023-05-10,Web
CL0102,Nom102,Prenom102,client102@email.com,1959-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0103,Nom103,Prenom103,client103@email.com,1954-05-15,H,RBA,0600000000,2023-05-10,Web
CL0104,Nom104,Prenom104,client104@email.com,1955-05-15,m,marrakech,0600000000,2023-05-10,Web
CL0105,Nom105,Prenom105,client105@email.com,1953-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0106,Nom106,Prenom106,client106@email.com,1951-05-15,1,CASABLANCA,0600000000,2023-05-10,Web
CL0107,Nom107,Prenom107,client107@email.com,1971-05-15,H,RBA,0600000000,2023-05-10,Web
CL0108,Nom108,Prenom108,client108@email.com,1954-05-15,F,TNG,0600000000,2023-05-10,Web
CL0109,Nom109,Prenom109,client109@email.com,1986-05-15,1,CASABLANCA,0600000000,2023-05-10,Web
CL0110,Nom110,Prenom110,client110@email.com,1978-05-15,Homme,marrakech,0600000000,2023-05-10,Web
CL0111,Nom111,Prenom111,client111@email.com,1980-05-15,0,tanger,0600000000,2023-05-10,Web
CL0112,Nom112,Prenom112,client112@email.com,1974-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0113,Nom113,Prenom113,client113@email.com,1962-05-15,1,CASABLANCA,0600000000,2023-05-10,Web
CL0114,Nom114,Prenom114,client114@email.com,1982-05-15,Homme,kech,0600000000,2023-05-10,Web
CL0115,Nom115,Prenom115,client115@email.com,2003-05-15,m,tanger,0600000000,2023-05-10,Web
CL0116,Nom116,Prenom116,client116@email.com,1988-05-15,1,TNG,0600000000,2023-05-10,Web
CL0117,Nom117,Prenom117,client117@email.com,1966-05-15,Homme,TNG,0600000000,2023-05-10,Web
CL0118,Nom118,Prenom118,client118@email.com,1972-05-15,Femme,TANGER,0600000000,2023-05-10,Web
CL0119,Nom119,Prenom119,client119@email.com,1994-05-15,H,Agadir,0600000000,2023-05-10,Web
CL0120,Nom120,Prenom120,client120@email.com,1976-05-15,m,TANGER,0600000000,2023-05-10,Web
CL0121,Nom121,Prenom121,client121@email.com,2025-05-15,1,Agadir,0600000000,2023-05-10,Web
CL0122,Nom122,Prenom122,client122@email.com,1966-05-15,H,Agadir,0600000000,2023-05-10,Web
CL0123,Nom123,Prenom123,client123@email.com,1980-05-15,H,CASABLANCA,0600000000,2023-05-10,Web
CL0124,Nom124,Prenom124,client124@email.com,1952-05-15,0,CASABLANCA,0600000000,2023-05-10,Web
CL0125,Nom125,Prenom125,client125@email.com,1978-05-15,H,kech,0600000000,2023-05-10,Web
CL0126,Nom126,Prenom126,client126@email.com,1951-05-15,Femme,RBA,0600000000,2023-05-10,Web
CL0127,Nom127,Prenom127,client127@email.com,1962-05-15,1,marrakech,0600000000,2023-05-10,Web
CL0128,Nom128,Prenom128,client128@email.com,1994-05-15,Femme,TNG,0600000000,2023-05-10,Web
CL0129,Nom129,Prenom129,client129@email.com,1985-05-15,0,casa,0600000000,2023-05-10,Web
CL0130,Nom130,Prenom130,client130@email.com,1972-05-15,F,casa,0600000000,2023-05-10,Web
CL0131,Nom131,Prenom131,client131email.com,1971-05-15,0,marrakech,0600000000,2023-05-10,Web
CL0132,Nom132,Prenom132,client132@email.com,2025-05-15,m,RBA,0600000000,2023-05-10,Web
CL0133,Nom133,Prenom133,client133@email.com,1953-05-15,1,tanger,0600000000,2023-05-10,Web
CL0134,Nom134,Prenom134,client134@email.com,1972-05-15,Femme,CASABLANCA,0600000000,2023-05-10,Web
CL0135,Nom135,Prenom135,client135email.com,1989-05-15,F,CASABLANCA,0600000000,2023-05-10,Web
CL0136,Nom136,Prenom136,client136@email.com,1977-05-15,H,RBA,0600000000,2023-05-10,Web
CL0137,Nom137,Prenom137,client137@email.com,1969-05-15,Femme,Tnja,0600000000,2023-05-10,Web
CL0138,Nom138,Prenom138,client138@email.com,1953-05-15,Femme,kech,0600000000,2023-05-10,Web
CL0139,Nom139,Prenom139,client139email.com,1952-05-15,m,kech,0600000000,2023-05-10,Web
CL0140,Nom140,Prenom140,client140@email.com,1969-05-15,H,casa,0600000000,2023-05-10,Web
CL0141,Nom141,Prenom141,client141@email.com,1966-05-15,F,RBA,0600000000,2023-05-10,Web
CL0142,Nom142,Prenom142,client142@email.com,1976-05-15,f,RBA,0600000000,2023-05-10,Web
CL0143,Nom143,Prenom143,client143email.com,1990-05-15,0,marrakech,0600000000,2023-05-10,Web
CL0144,Nom144,Prenom144,client144@email.com,1970-05-15,f,tanger,0600000000,2023-05-10,Web
CL0145,Nom145,Prenom145,client145email.com,1972-05-15,m,Agadir,0600000000,2023-05-10,Web
CL0146,Nom146,Prenom146,client146@email.com,1975-05-15,Homme,marrakech,0600000000,2023-05-10,Web
CL0147,Nom147,Prenom147,client147@email.com,2000-05-15,0,kech,0600000000,2023-05-10,Web
CL0148,Nom148,Prenom148,client148@email.com,1984-05-15,F,TNG,0600000000,2023-05-10,Web
CL0149,Nom149,Prenom149,client149@email.com,1998-05-15,m,casa,0600000000,2023-05-10,Web
CL0150,Nom150,Prenom150,client150@email.com,1987-05-15,Homme,tanger,0600000000,2023-05-10,Web
CL0151,Nom151,Prenom151,client151@email.com,1979-05-15,Homme,Tnja,0600000000,2023-05-10,Web
CL0152,Nom152,Prenom152,client152@email.com,1966-05-15,0,tanger,0600000000,2023-05-10,Web
CL0153,Nom153,Prenom153,client153@email.com,1971-05-15,1,Agadir,0600000000,2023-05-10,Web
CL0154,Nom154,Prenom154,client154@email.com,1958-05-15,0,TANGER,0600000000,2023-05-10,Web
CL0155,Nom155,Prenom155,client155@email.com,1975-05-15,F,casa,0600000000,2023-05-10,Web
CL0156,Nom156,Prenom156,client156@email.com,1960-05-15,Femme,TNG,0600000000,2023-05-10,Web
CL0157,Nom157,Prenom157,client157@email.com,1968-05-15,m,RBA,0600000000,2023-05-10,Web
CL0158,Nom158,Prenom158,client158@email.com,1992-05-15,H,TANGER,0600000000,2023-05-10,Web
CL0159,Nom159,Prenom159,client159@email.com,1962-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0160,Nom160,Prenom160,client160@email.com,1998-05-15,F,marrakech,0600000000,2023-05-10,Web
CL0161,Nom161,Prenom161,client161email.com,1987-05-15,F,casa,0600000000,2023-05-10,Web
CL0162,Nom162,Prenom162,client162@email.com,1983-05-15,H,TNG,0600000000,2023-05-10,Web
CL0163,Nom163,Prenom163,client163@email.com,1950-05-15,Homme,TNG,0600000000,2023-05-10,Web
CL0164,Nom164,Prenom164,client164@email.com,1986-05-15,Homme,TNG,0600000000,2023-05-10,Web
CL0165,Nom165,Prenom165,client165@email.com,1953-05-15,0,kech,0600000000,2023-05-10,Web
CL0166,Nom166,Prenom166,client166@email.com,1964-05-15,f,RBA,0600000000,2023-05-10,Web
CL0167,Nom167,Prenom167,client167@email.com,1985-05-15,H,kech,0600000000,2023-05-10,Web
CL0168,Nom168,Prenom168,client168@email.com,1985-05-15,Homme,Tnja,0600000000,2023-05-10,Web
CL0169,Nom169,Prenom169,client169@email.com,1973-05-15,F,casa,0600000000,2023-05-10,Web
CL0170,Nom170,Prenom170,client170email.com,1968-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0171,Nom171,Prenom171,client171@email.com,1957-05-15,F,kech,0600000000,2023-05-10,Web
CL0172,Nom172,Prenom172,client172@email.com,1963-05-15,Homme,TNG,0600000000,2023-05-10,Web
CL0173,Nom173,Prenom173,client173email.com,2005-05-15,Homme,tanger,0600000000,2023-05-10,Web
CL0174,Nom174,Prenom174,client174@email.com,1995-05-15,H,Agadir,0600000000,2023-05-10,Web
CL0175,Nom175,Prenom175,client175@email.com,2002-05-15,0,Agadir,0600000000,2023-05-10,Web
CL0176,Nom176,Prenom176,client176@email.com,2025-05-15,f,RBA,0600000000,2023-05-10,Web
CL0177,Nom177,Prenom177,client177@email.com,1962-05-15,Homme,casa,0600000000,2023-05-10,Web
CL0178,Nom178,Prenom178,client178@email.com,1996-05-15,Homme,marrakech,0600000000,2023-05-10,Web
CL0179,Nom179,Prenom179,client179@email.com,1977-05-15,0,CASABLANCA,0600000000,2023-05-10,Web
CL0180,Nom180,Prenom180,client180@email.com,2025-05-15,f,CASABLANCA,0600000000,2023-05-10,Web
CL0181,Nom181,Prenom181,client181@email.com,1850-05-15,Femme,CASABLANCA,0600000000,2023-05-10,Web
CL0182,Nom182,Prenom182,client182@email.com,1961-05-15,H,kech,0600000000,2023-05-10,Web
CL0183,Nom183,Prenom183,client183@email.com,2005-05-15,F,kech,0600000000,2023-05-10,Web
CL0184,Nom184,Prenom184,client184@email.com,1963-05-15,1,TNG,0600000000,2023-05-10,Web
CL0185,Nom185,Prenom185,client185@email.com,2002-05-15,H,CASABLANCA,0600000000,2023-05-10,Web
CL0186,Nom186,Prenom186,client186@email.com,2000-05-15,m,TANGER,0600000000,2023-05-10,Web
CL0187,Nom187,Prenom187,client187email.com,1962-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0188,Nom188,Prenom188,client188@email.com,2003-05-15,H,TNG,0600000000,2023-05-10,Web
CL0189,Nom189,Prenom189,client189@email.com,1952-05-15,H,Tnja,0600000000,2023-05-10,Web
CL0190,Nom190,Prenom190,client190@email.com,1960-05-15,F,RBA,0600000000,2023-05-10,Web
CL0191,Nom191,Prenom191,client191@email.com,1976-05-15,Homme,TANGER,0600000000,2023-05-10,Web
CL0192,Nom192,Prenom192,client192@email.com,1992-05-15,Femme,CASABLANCA,0600000000,2023-05-10,Web
CL0193,Nom193,Prenom193,client193email.com,1996-05-15,Femme,marrakech,0600000000,2023-05-10,Web
CL0194,Nom194,Prenom194,client194@email.com,1994-05-15,1,CASABLANCA,0600000000,2023-05-10,Web
CL0195,Nom195,Prenom195,client195@email.com,1964-05-15,H,TANGER,0600000000,2023-05-10,Web
CL0196,Nom196,Prenom196,client196@email.com,1956-05-15,H,RBA,0600000000,2023-05-10,Web
CL0197,Nom197,Prenom197,client197@email.com,1977-05-15,Homme,RBA,0600000000,2023-05-10,Web
CL0198,Nom198,Prenom198,client198@email.com,2005-05-15,Homme,kech,0600000000,2023-05-10,Web
CL0199,Nom199,Prenom199,client199@email.com,1966-05-15,Femme,kech,0600000000,2023-05-10,Web
CL0200,Nom200,Prenom200,client200@email.com,1973-05-15,0,kech,0600000000,2023-05-10,Web
CL0201,Nom201,Prenom201,client201@email.com,1986-05-15,f,TNG,0600000000,2023-05-10,Web
CL0202,Nom202,Prenom202,client202@email.com,1980-05-15,1,Tnja,0600000000,2023-05-10,Web
CL0203,Nom203,Prenom203,client203@email.com,1966-05-15,Homme,kech,0600000000,2023-05-10,Web
CL0204,Nom204,Prenom204,client204@email.com,1983-05-15,m,Tnja,0600000000,2023-05-10,Web
CL0205,Nom205,Prenom205,client205@email.com,1986-05-15,m,marrakech,0600000000,2023-05-10,Web
CL0206,Nom206,Prenom206,client206@email.com,1953-05-15,0,Agadir,0600000000,2023-05-10,Web
CL0207,Nom207,Prenom207,client207@email.com,1980-05-15,0,Agadir,0600000000,2023-05-10,Web
CL0208,Nom208,Prenom208,client208@email.com,1985-05-15,Femme,TNG,0600000000,2023-05-10,Web
CL0209,Nom209,Prenom209,client209@email.com,1965-05-15,F,TANGER,0600000000,2023-05-10,Web
CL0210,Nom210,Prenom210,client210@email.com,1976-05-15,1,RBA,0600000000,2023-05-10,Web
CL0211,Nom211,Prenom211,client211@email.com,1959-05-15,0,RBA,0600000000,2023-05-10,Web
CL0212,Nom212,Prenom212,client212@email.com,1964-05-15,F,casa,0600000000,2023-05-10,Web
CL0213,Nom213,Prenom213,client213@email.com,2002-05-15,Homme,Tnja,0600000000,2023-05-10,Web
CL0214,Nom214,Prenom214,client214@email.com,2025-05-15,F,TNG,0600000000,2023-05-10,Web
CL0215,Nom215,Prenom215,client215@email.com,1969-05-15,0,RBA,0600000000,2023-05-10,Web
CL0216,Nom216,Prenom216,client216@email.com,1986-05-15,F,Tnja,0600000000,2023-05-10,Web
CL0217,Nom217,Prenom217,client217email.com,1993-05-15,Femme,kech,0600000000,2023-05-10,Web
CL0218,Nom218,Prenom218,client218@email.com,1850-05-15,H,TANGER,0600000000,2023-05-10,Web
CL0219,Nom219,Prenom219,client219@email.com,1977-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0220,Nom220,Prenom220,client220@email.com,1995-05-15,F,Tnja,0600000000,2023-05-10,Web
CL0221,Nom221,Prenom221,client221@email.com,1980-05-15,F,Tnja,0600000000,2023-05-10,Web
CL0222,Nom222,Prenom222,client222@email.com,1970-05-15,H,CASABLANCA,0600000000,2023-05-10,Web
CL0223,Nom223,Prenom223,client223@email.com,1975-05-15,m,casa,0600000000,2023-05-10,Web
CL0224,Nom224,Prenom224,client224@email.com,1961-05-15,F,marrakech,0600000000,2023-05-10,Web
CL0225,Nom225,Prenom225,client225@email.com,1956-05-15,f,kech,0600000000,2023-05-10,Web
CL0226,Nom226,Prenom226,client226@email.com,2005-05-15,Femme,kech,0600000000,2023-05-10,Web
CL0227,Nom227,Prenom227,client227@email.com,1986-05-15,F,RBA,0600000000,2023-05-10,Web
CL0228,Nom228,Prenom228,client228@email.com,1999-05-15,H,casa,0600000000,2023-05-10,Web
CL0229,Nom229,Prenom229,client229@email.com,1970-05-15,m,Agadir,0600000000,2023-05-10,Web
CL0230,Nom230,Prenom230,client230@email.com,1984-05-15,0,Tnja,0600000000,2023-05-10,Web
CL0231,Nom231,Prenom231,client231@email.com,1967-05-15,1,CASABLANCA,0600000000,2023-05-10,Web
CL0232,Nom232,Prenom232,client232@email.com,1992-05-15,f,TANGER,0600000000,2023-05-10,Web
CL0233,Nom233,Prenom233,client233@email.com,2003-05-15,1,Tnja,0600000000,2023-05-10,Web
CL0234,Nom234,Prenom234,client234@email.com,1965-05-15,1,tanger,0600000000,2023-05-10,Web
CL0235,Nom235,Prenom235,client235@email.com,1978-05-15,Femme,TANGER,0600000000,2023-05-10,Web
CL0236,Nom236,Prenom236,client236@email.com,1958-05-15,1,Agadir,0600000000,2023-05-10,Web
CL0237,Nom237,Prenom237,client237@email.com,1960-05-15,0,casa,0600000000,2023-05-10,Web
CL0238,Nom238,Prenom238,client238@email.com,1999-05-15,f,TNG,0600000000,2023-05-10,Web
CL0239,Nom239,Prenom239,client239@email.com,1957-05-15,H,kech,0600000000,2023-05-10,Web
CL0240,Nom240,Prenom240,client240email.com,1952-05-15,Homme,TNG,0600000000,2023-05-10,Web
CL0241,Nom241,Prenom241,client241@email.com,1968-05-15,Femme,TNG,0600000000,2023-05-10,Web
CL0242,Nom242,Prenom242,client242@email.com,1994-05-15,1,kech,0600000000,2023-05-10,Web
CL0243,Nom243,Prenom243,client243@email.com,1957-05-15,1,Tnja,0600000000,2023-05-10,Web
CL0244,Nom244,Prenom244,client244@email.com,1957-05-15,1,kech,0600000000,2023-05-10,Web
CL0245,Nom245,Prenom245,client245@email.com,1986-05-15,H,Agadir,0600000000,2023-05-10,Web
CL0246,Nom246,Prenom246,client246@email.com,2005-05-15,H,TNG,0600000000,2023-05-10,Web
CL0247,Nom247,Prenom247,client247@email.com,1959-05-15,m,casa,0600000000,2023-05-10,Web
CL0248,Nom248,Prenom248,client248@email.com,1999-05-15,0,Agadir,0600000000,2023-05-10,Web
CL0249,Nom249,Prenom249,client249@email.com,1988-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0250,Nom250,Prenom250,client250@email.com,2004-05-15,m,TNG,0600000000,2023-05-10,Web
CL0251,Nom251,Prenom251,client251@email.com,1950-05-15,Femme,TNG,0600000000,2023-05-10,Web
CL0252,Nom252,Prenom252,client252@email.com,1963-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0253,Nom253,Prenom253,client253@email.com,2003-05-15,1,casa,0600000000,2023-05-10,Web
CL0254,Nom254,Prenom254,client254@email.com,1957-05-15,1,RBA,0600000000,2023-05-10,Web
CL0255,Nom255,Prenom255,client255@email.com,1961-05-15,0,TNG,0600000000,2023-05-10,Web
CL0256,Nom256,Prenom256,client256@email.com,1984-05-15,f,tanger,0600000000,2023-05-10,Web
CL0257,Nom257,Prenom257,client257@email.com,2025-05-15,Femme,Agadir,0600000000,2023-05-10,Web
CL0258,Nom258,Prenom258,client258@email.com,1960-05-15,Homme,CASABLANCA,0600000000,2023-05-10,Web
CL0259,Nom259,Prenom259,client259@email.com,1975-05-15,Femme,RBA,0600000000,2023-05-10,Web
CL0260,Nom260,Prenom260,client260@email.com,1979-05-15,Homme,Tnja,0600000000,2023-05-10,Web
CL0261,Nom261,Prenom261,client261@email.com,1992-05-15,F,kech,0600000000,2023-05-10,Web
CL0262,Nom262,Prenom262,client262@email.com,1993-05-15,0,TNG,0600000000,2023-05-10,Web
CL0263,Nom263,Prenom263,client263@email.com,1971-05-15,Homme,Agadir,0600000000,2023-05-10,Web
CL0264,Nom264,Prenom264,client264@email.com,1993-05-15,1,marrakech,0600000000,2023-05-10,Web
CL0265,Nom265,Prenom265,client265@email.com,1971-05-15,H,Agadir,0600000000,2023-05-10,Web
CL0266,Nom266,Prenom266,client266@email.com,1984-05-15,Homme,CASABLANCA,0600000000,2023-05-10,Web
